Model,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,AUC
Random Forest,0.6111111111111112,0.6111111111111112,0.6125,0.609907120743034,0.65
XGBoost,0.5555555555555556,0.5416666666666667,0.5375,0.5324675324675324,0.5125
Gradient Boosting,0.5555555555555556,0.55,0.55,0.55,0.5125
Stacking Ensemble,0.5,0.5,0.5,0.4984520123839009,0.55
