Species,SRR7162297,SRR7162298,SRR7162299,SRR7162301,SRR7162302,SRR7162303,SRR7162304,SRR7162305,SRR7162306,SRR7162307,SRR7162308,SRR7162309,SRR7162311,SRR7162315,SRR7162316,SRR7162318,SRR7162320,SRR7162321,SRR7162322,SRR7162323,SRR7162325,SRR7162326,SRR7162331,SRR7162332,SRR7162334,SRR7162335,SRR7162336,SRR7162339,SRR7162340,SRR7162343,SRR7162344,SRR7162345,SRR7162346,SRR7162347,SRR7162349,SRR7162351,SRR7162352,SRR7162353,SRR7162355,SRR7162356,SRR7162358,SRR7162359,SRR7162361,SRR7162362,SRR7162363,SRR7162365,SRR7162366,SRR7162370,SRR7162372,SRR7162374,SRR7162377,SRR7162378,SRR7162379,SRR7162380,SRR7162382,SRR7162383,SRR7162386,SRR7162387,SRR7162388,SRR7162389,SRR7162393,SRR7162396,SRR7162398,SRR7162399,SRR7162400,SRR7162401,SRR7162402,SRR7162403,SRR7162404,SRR7162405,SRR7162407,SRR7162408,SRR7162410,SRR7162411,SRR7162413,SRR7162414,SRR7162415,SRR7162416,SRR7162418,SRR7162421,SRR7162422,SRR7162423,SRR7162424,SRR7162425,SRR7162426,SRR7162427,SRR7162428
Actinobacillus pleuropneumoniae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.00492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.57085,0,0,0,163.16293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.57865
Actinobacillus succinogenes,0,0,0,0,69.723946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.24492,172.89163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aerococcus urinae,58.21022,0,118.839935,0,0,152.69554,0,0,0,0,0,143.59598,0,0,0,83.38976,0,139.48627,107.82868,0,220.27783,0,52.287354,0,0,0,0,0,0,0,436.07776,0,0,105.24207,58.973614,0,117.507164,0,725.89194,0,0,0,0,85.51609,0,0,0,0,98.14244,0,0,0,97.70641,0,270.5377,0,0,98.9787,0,125.6346,0,0,0,0,0,0,0,0,0,0,0,1332.250147,0,0,87.09129,0,0,0,0,0,0,0,0,166.926894,0,0,0
Aeromonas veronii,0,0,0,0,145.87119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aggregatibacter actinomycetemcomitans,0,0,0,0,374.92505,0,0,191.86282,0,0,0,0,0,0,69.774895,0,0,0,0,0,0,0,102.71388,0,0,0,0,0,0,0,189.39238,0,0,0,0,0,0,552.06217,0,360.15295,65.61425,403.5349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950.2986,0,0,0,0,0,0,0,0,0,0,0,0,0,119.3919,0,0,0,0,0,0,0,0,0,0,186.17255
Aggregatibacter aphrophilus,0,0,0,0,0,0,0,0,0,0,110.107994,0,0,89.31132,0,0,70.095634,0,0,0,0,0,0,149.58064,0,0,0,0,0,0,0,0,0,0,0,0,81.413,0,0,0,73.48125,0,0,0,0,0,0,0,119.03276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.23932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akkermansia muciniphila,376.09624,0,0,0,0,0,0,0,26557.4608,30521.88826,0,0,0,71.44905,0,0,129.125862,0,9952.64682,147.75403,0,13973.22962,0,1146.971432,0,170.48898,0,0,0,0,5715.56878,0,0,0,0,0,150.37181,0,0,0,6548.68145,0,0,458.312783,0,0,0,0,0,426.829456,0,0,356.888395,4231.6329,0,5.038306,5783.020014,173.23888,0,0,0,0,0,76904.39,30526.0827,0,0,0,25118.0038,0,883.0568,0,187.65528,0,0,0,332.55475,115.73549,0,0,4244.55406,0,88.560616,8814.40612,65.71319,2379.90804,0
Albidiferax ferrireducens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alicycliphilus denitrificans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alicyclobacillus acidocaldarius,75.89481,0,73.03078,0,0,0,0,0,101.79576,204.4758,0,0,0,0,0,0,0,0,0,0,0,171.57677,0,0,0,0,0,0,0,0,1724.1766,0,0,0,0,0,0,0,0,0,75.15439,152.1262,0,0,0,72.96534,241.1654,0,0,1294.5392,0,0,0,0,0,0,0,0,0,253.809666,0,0,0,0,0,100.39856,0,0,0,0,0,0,0,0,121.22684,0,0,0,0,0,0,0,0,0,181.73205,0,0
Aliivibrio fischeri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alkaliphilus metalliredigens,0,208.40555,0,0,52.487892,0,0,0,619.141577,0,0,439.2254,0,0,0,298.4429,130.29875,0,240.536166,82.56394,0,287.66015,54.61121,112.707405,0,0,0,0,163.33075,0,75.750916,0,0,0,0,0,110.61835,0,0,0,0,0,0,0,0,0,0,0,127.66771,229.24271,0,0,0,0,0,0,0,0,0,1185.33343,0,349.74396,491.61435,0,344.449654,443.70242,0,0,0,0,108.47186,0,123.21142,0,0,69.2463,0,0,0,0,0,334.101785,0,0,817.60739,0,188.2773
Alkaliphilus oremlandii,0,363.98576,531.1106,0,423.78229,270.8239,963.2734,0,0,528.73702,0,411.92035,0,0,0,745.30615,299.5504,0,1341.616604,0,0,0,59.945744,395.10385,0,0,814.7856,0,0,119.80045,458.93733,1184.88731,0,0,0,0,0,0,0,0,0,0,0,151.75743,0,83.29129,1362.9791,0,1376.9689,0,0,0,0,163.96391,0,23.03167,678.06635,0,0,442.62195,390.31424,0,101.919426,302.53622,952.9727,382.40765,227.13478,377.08032,0,0,0,0,282.03238,456.48438,0,356.135335,0,0,0,120.486305,0,238.88596,199.46767,288.17264,423.4793,311.01535,0
Allochromatium vinosum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.9901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alteromonas sp. SN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.30794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aminobacterium colombiense,0,0,0,0,0,0,0,0,1702.61466,79.018585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.00958,0,2282.80986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.63355,79.735535,0,0,0,0,0,0,0,2446.63154,0,0,0
Ammonifex degensii,0,0,0,0,0,0,71.02052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.1468,70.343285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.39114,0,0,0,0,0,95.57065,0,0,79.9580235,485.78136,0,0,0,0,0,0,229.162294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amycolatopsis mediterranei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.11341,0,0,0,0,0
Anaerococcus prevotii,0,0,380.55739,169.313965,592.11965,0,0,0,191.5762,467.72537,0,0,194.517816,0,0,424.18673,1185.470185,0,306.870083,0,0,241.94705,0,641.00338,0,0,694.2816,231.00891,0,34.359657,718.130626,458.5856,0,152.19934,0,166.15555,0,0,0,0,1522.178516,163.35257,0,158.24356,0,0,1333.10483,144.48749,65.691635,554.741476,195.874715,0,115.8152,184.47568,0,592.89294,646.7854,0,80.72053,169.65021,640.55772,887.47311,193.33794,0,613.037144,0,127.01338,204.41953,0,0,882.59335,0,121.988556,1004.8883,0,0,0,0,0,0,104.30374,427.803095,102.08284,0,577.446405,567.61303,0
Anaerolinea thermophila,79.881134,0,109.298645,0,0,0,0,0,0,0,0,0,0,0,0,0,168.567606,0,0,0,0,68.97048,0,90.59214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.46333,0,0,0,0,0,0,0,0,0,0,0,0,78.026596,0,0,0,0,0,0,0,0,0,0,181.05948,190.75479,0,109.61703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaeromyxobacter dehalogenans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.09021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anoxybacillus flavithermus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.578255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.76364,0,0,0,0,0,0,0,0,0,0,0,0
Aquifex aeolicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.89364,0,0,0,0,0,0
Arcanobacterium haemolyticum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.76623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.486186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808.59912,0,0,0,0,0,0,0,0,0,0,0,99.389404,0,0,0
Aromatoleum aromaticum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.02974,0,0,0,0,98.83458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atopobium parvulum,102.4221,0,0,0,426.62883,0,281.57925,0,0,1201.4656,0,0,98.23973,0,0,0,0,0,139.95663,0,0,234.2894,151.30048,0,221.831916,0,266.62643,291.939164,102.72378,0,83.7021,346.55643,0,0,0,238.84337,0,0,162.69398,0,1266.83846,0,0,463.56363,930.57385,153.77078,0,0,0,0,897.52772,0,0,0,0,680.9061,128.36066,0,186.45221,0,0,226.54117,0,0,411.4244,0,220.835744,197.95467,179.69846,108.126595,0,0,0,510.22557,0,180.68828,0,0,327.86386,272.65011,0,89.73298,118.3598,83.39693,0,267.46637,0
Azoarcus sp. BH72,0,0,0,0,81.83553,0,0,0,137.24806,85.59099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.07648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azorhizobium caulinodans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.33482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azospirillum sp. B510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.64294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillus cellulosilyticus,0,0,0,0,0,0,0,153.09258,0,0,0,0,0,0,0,0,0,0,0,0,138.2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillus clausii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.777023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.95866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.12885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillus coagulans,0,0,0,0,0,0,0,0,0,0,0,183.03432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.65897,0,0,0,0,0,0,113.154144,0,0,0,0,0,0,0,0,0,0,0,0,75.87737,0,0,0,0,0,0,0,0,0,0,83.81441,0,0,0,0,0,0,102.27149,0,0,0,0,0,0,0,0,0,75.59634,0,0,0,0,0,0,263.75876,0,0,0,0,0
Bacillus halodurans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillus megaterium,0,0,0,0,0,0,107.88382,0,0,0,0,0,0,0,0,0,210.26717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillus pseudofirmus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.86966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillus pumilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.0875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.51042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillus selenitireducens,0,0,0,0,0,0,0,0,0,0,0,185.65111,0,0,0,0,0,0,0,0,0,0,0,0,110.99867,117.96686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.31207,0,0
Bacteroides fragilis,56848.43695,93315.76137,16495.93446,6858.104256,11172.53822,37988.93774,14647.78632,70792.2709,98621.48973,67976.05621,71869.96135,0,79658.7872,90909.82529,64015.13388,34048.82657,7923.88825,291773.3974,14829.23211,111762.4317,503777.8381,14212.30831,9610.255255,117393.7465,117184.7545,129541.7839,37493.65515,32053.83812,148051.7149,126023.0225,20346.66262,97220.91869,77979.69253,458885.8408,68022.83193,19184.40496,113275.1122,114222.107,45253.73474,23468.39797,40008.36199,12661.40496,19760.29525,25878.23041,28233.01973,29032.68084,18067.705,46699.84794,50830.93526,3074.44871,163747.6002,289880.0251,22784.9555,30394.62668,98667.4838,52921.1998,9711.972682,26259.223,52645.6261,5651.96361,44380.84289,41652.25276,44987.82942,48178.32024,19689.8456,26879.91943,86970.54003,25822.33258,61882.89688,85247.6692,54991.95817,0,51047.01938,4869.86425,48070.44983,64033.6176,93456.13899,11189.77899,253547.2803,60664.4941,42426.79936,17598.31556,76529.27627,82282.41456,30272.02362,42057.90995,59152.13831
Bacteroides helcogenes,61186.83906,42054.23424,19736.89363,18002.63952,18614.11735,66495.97675,41403.63297,235234.1271,281295.8533,111709.235,49785.24016,0,102265.373,29790.70621,62217.05981,144365.0932,10305.7395,9390.940726,8763.610665,226706.5553,24058.62276,44491.73154,89585.84715,220896.0596,176956.4325,83992.74369,139007.2312,87388.98331,36701.29232,108189.6704,65714.57035,134750.4391,170954.5512,35753.5998,142798.7057,63926.44848,98008.27183,268331.6506,200930.051,124770.5595,117127.9464,13411.21941,45565.78019,14067.97388,115134.6798,45233.13018,19505.47984,53900.08701,26196.23375,4947.57581,191549.5927,10984.98597,12683.74362,153859.3269,61851.14564,170139.2831,14942.81319,6824.941374,81853.42806,25387.36304,185027.9959,107435.0799,53975.8907,64785.83367,43809.5146,50739.60738,61087.34001,46398.46483,231123.9302,4752.6523,273364.1935,0,364379.0195,17401.87578,252718.7045,181147.5901,106658.7645,2988.8028,101829.11,140818.3992,274073.5946,39712.06131,25048.61922,61384.45747,71215.62753,108533.2927,21013.70808
Bacteroides salanitronis,251539.0026,213.14397,97562.27418,1750.37154,22620.8147,233330.9908,56129.0822,0,615.72211,929.23862,269696.5171,0,0,0,303892.2639,3269.96865,10237.29392,126.50758,33725.61296,1729.39706,0,21148.2475,120483.9324,4017.42018,6082.54771,0,302.29797,69787.37272,0,2983.1387,71046.98484,528.68587,0,5913.2065,709.96878,119287.423,400.43393,0,2913.07943,171867.43,213.20515,16158.5181,186805.222,149820.5327,115850.463,224293.0348,16541.84597,613.2434,60834.73711,23046.00002,4062.45,349.22186,94375.257,1535.49023,0,116013.7242,3497.01859,0,29117.81304,30519.03904,1199.22731,242676.1849,73008.06877,6327.86407,1955.809835,42238.61788,3008.64897,101874.201,57.848568,0,25317.21217,0,1449.96627,55540.04694,26023.93112,5055.15574,15.77344365,19609.24448,89.48618,879.1758,112792.677,102373.5058,16235.31633,2066.698634,128852.4844,48309.95787,12441.949
Bacteroides thetaiotaomicron,70490.50091,159515.5309,40335.7572,16008.29929,19939.03542,34608.75371,27316.84827,180675.2637,79958.99501,131169.1981,164948.2467,0,156328.5249,143938.7265,166622.4488,49417.02374,7216.189117,210571.8572,56300.95972,119086.4609,243791.2848,30466.09351,33359.90138,92710.03877,118127.7068,259286.5099,35510.75645,89778.00744,126312.5523,302756.4221,37453.19676,57087.54206,54865.10245,192227.346,102455.7799,76788.0089,110903.4056,114729.562,85737.15606,42402.54669,37825.62578,11809.12427,68693.08339,24649.27655,90224.37585,43027.52816,20259.13374,287471.771,8991.88932,5393.340575,212843.4942,203077.7961,32464.39533,82327.37755,152478.4618,88852.59292,20225.58389,97793.38337,81477.10361,13580.08374,107765.3142,67383.49091,73853.43924,142169.6544,77786.74291,105108.4418,105762.6401,32347.8754,70359.67382,182034.7604,53067.35728,0,91431.53801,23200.66274,99828.01474,100048.9057,154641.6679,12336.80546,28104.8338,123521.4088,113489.6573,23264.31322,132660.5892,143993.4315,40071.98939,79267.73714,48974.03036
