Model,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,AUC
Random Forest,0.8888888888888888,0.9166666666666667,0.875,0.8831168831168831,1.0
XGBoost,0.6666666666666666,0.6666666666666666,0.65,0.6493506493506493,0.75
Gradient Boosting,0.6666666666666666,0.6666666666666666,0.65,0.6493506493506493,0.675
Stacking Ensemble,0.6666666666666666,0.8125,0.625,0.5846153846153846,0.75
