Model,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,AUC
Random Forest,0.5555555555555556,0.55,0.55,0.55,0.6375000000000001
XGBoost,0.6666666666666666,0.6625,0.6625,0.6625,0.6125
Gradient Boosting,0.7222222222222222,0.7222222222222222,0.725,0.7213622291021672,0.675
Stacking Ensemble,0.6666666666666666,0.6625,0.6625,0.6625,0.6749999999999999
