Model,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,AUC
Random Forest,0.7777777777777778,0.8571428571428572,0.75,0.75,0.9
XGBoost,0.7777777777777778,0.775,0.775,0.775,0.8
Gradient Boosting,0.7777777777777778,0.8333333333333333,0.8,0.775,0.925
Stacking Ensemble,0.7777777777777778,0.775,0.775,0.775,0.9
